dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant III,28,336983,322.34593772888184,4.079341888427734,2627.713,28.036,0.9407295838988381,0.07911438049906246,0.41365007541478127,0.05342230775667308,0.13282479719094323,0.680113883829054,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,28,336983,323.00735688209534,4.052349328994751,2664.343,30.6,0.9060420735542388,0.05855161787365177,0.5015082956259427,0.08946950046021253,0.10486064572081838,0.706019397582865,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,28,336983,323.2766110897064,4.063823938369751,2627.745,36.295,0.9190555794630739,0.07375478927203065,0.551659125188537,0.07686804451510335,0.13011383849164,0.7373955403367168,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,29,518812,338.5723786354065,3.4289891719818115,2749.948,25.619,0.9107413748530566,0.09240365808532008,0.6073662265462126,0.08493912423998061,0.1604037623308098,0.7612135511531161,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,29,518812,338.66397356987,3.4833896160125732,2758.959,24.458,0.9587629871713576,0.13811007268951195,0.36970118137595553,0.0328498209091089,0.20109620109620113,0.6684256802334234,0.9587629871713576,0.13811007268951195,0.36970118137595553,0.0328498209091089,0.20109620109620113,0.9953693889073877,0.9740246144885214,0.9773312023944022
Variant II,29,518812,338.45093727111816,3.5509324073791504,2770.302,32.367,0.8779718062533535,0.0728535597144511,0.6560111188325226,0.11886786852156017,0.1311429861424652,0.7685716251554813,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,29,518812,321.2722692489624,4.154678583145142,2601.962,28.907,0.9345393756827436,0.0767005271955767,0.44984917043740574,0.06008283825621287,0.1310556959244205,0.6948831660905964,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,29,518812,324.1737377643585,4.063289403915405,2642.278,29.827,0.9395089211824291,0.08142707240293809,0.43891402714932126,0.054936825370261906,0.1373694459196318,0.6919886008895296,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,29,518812,323.6090760231018,4.075698375701904,2617.386,28.292,0.9585885001158595,0.09439788266431408,0.32277526395173456,0.03435695757677182,0.14607508532423208,0.6442091531874813,0.9585885001158595,0.09439788266431408,0.32277526395173456,0.03435695757677182,0.14607508532423208,0.9827117152864125,0.9938683675836782,0.9932336666904994
Base,30,943378,339.59033584594727,3.4839158058166504,2744.61,25.098,0.8941568988981079,0.08099202992118973,0.6320361362056984,0.10211098633078221,0.1435844811935115,0.7649625749374581,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,30,943378,339.1970236301422,3.4300014972686768,2749.809,24.662,0.89714648065948,0.0794530672579453,0.5976372480889507,0.09858904082480756,0.14025931664356192,0.7495241036320716,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,30,943378,339.555860042572,3.635359525680542,2772.447,25.491,0.9405248524462221,0.1149235221165771,0.4829742876997915,0.05296044169156788,0.18566753489614637,0.7150069230041118,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,30,943378,323.2979407310486,4.22746205329895,2635.737,37.242,0.9557623555893939,0.09607074665862728,0.36048265460030166,0.037632834072462554,0.1517099103388082,0.6614249102639196,0.9557623555893939,0.09607074665862728,0.36048265460030166,0.037632834072462554,0.1517099103388082,0.9900607194955272,0.9621652433596483,0.973547316069332
Variant IV,30,943378,322.7325987815857,4.061923980712891,2643.305,35.167,0.8975429507762588,0.05670289128604082,0.5331825037707391,0.09841435863107689,0.10250462140708254,0.717384072569831,0.9890264490714687,0,0.0,0.0,0,0,0,0
