dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant III,48,820287,61.3809027671814,1.5755579471588135,5618.8,145.678,0.880735045847264,0.030059256599030346,0.3156108597285068,0.11299472847460464,0.054890644981473585,0.601308065626951,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,48,820287,56.181631088256836,1.6730170249938965,5153.87,154.672,0.7988554735343771,0.023335891638490737,0.4242081447963801,0.19698769977407748,0.04423821788796917,0.6136102225111513,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,48,820287,58.83838605880737,1.5716197490692139,5405.993,146.231,0.8602030851732927,0.028044750325925478,0.34879336349924583,0.13412266755920008,0.05191525185912727,0.6073353479700229,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,49,934968,63.085649490356445,1.8931777477264404,5789.74,170.77,0.9232089985415417,0.04620811287477954,0.22758860319666435,0.0668866538368302,0.07681932797748196,0.580350974679917,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,49,934968,63.461559534072876,1.2883355617523193,5829.756,117.341,0.8886298229354666,0.04271702264185535,0.3238359972202919,0.10332851799813983,0.07547781017168771,0.6102537396110761,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,49,934968,65.37019419670105,1.296328067779541,6008.379,119.047,0.9859470269742939,0.0,0.0,1.4841786555320286e-05,0,0.49999257910672235,0.9859470269742939,0.0,0.0,1.4841786555320286e-05,0,0.48960128466238445,0.7178508040660464,0
Variant III,49,934968,60.74459481239319,1.6056337356567383,5579.223,145.727,0.9889643814757192,0.14285714285714285,0.0011312217194570137,7.530750564806292e-05,0.002244668911335578,0.5005279571069045,0.9889643814757192,0.14285714285714285,0.0011312217194570137,7.530750564806292e-05,0.002244668911335578,0.7827566798000198,0.9331252522840592,0.6572447160682455
Variant IV,49,934968,60.334043979644775,1.7172794342041016,5528.069,155.842,0.8450047998940713,0.027297913950456325,0.37895927601809953,0.1498242824868212,0.05092733353602919,0.6145674967656392,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,49,934968,59.74144506454468,1.5760955810546875,5474.5,145.433,0.9234003111655467,0.035115488333919566,0.22586726998491705,0.06886034641452599,0.06078132927447996,0.5785034617851956,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,50,878902,65.89127826690674,1.2985773086547852,6042.005,116.531,0.9859373399476126,0.0,0.0,2.47361885491236e-05,0,0.4999876319057254,0.9859373399476126,0.0,0.0,2.47361885491236e-05,0,0.29601405063441105,0.6498726761165325,0.13523031868706753
