dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant V,16,35032,1115.3261134624481,12.030116319656372,98009.977,1054.861,0.010973550928531233,0.010973550928531233,1.0,1.0,0.021708878374617314,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,17,995703,1183.21147108078,10.15592908859253,103685.77,885.575,0.242108960007024,0.015799433557285646,0.8644892286309938,0.766752583694894,0.031031730193574133,0.54886832246805,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,17,995703,1189.9086737632751,10.397637605667114,104176.016,914.197,0.9224964635871421,0.040019797779820405,0.19666435024322446,0.0671689786871945,0.06650608072381177,0.5647476857780149,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,17,995703,1176.6676108837128,10.306616067886353,103028.463,901.777,0.2538900541437003,0.016849519688892322,0.909312022237665,0.7554419884036174,0.033085957748081464,0.5769350169170238,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,17,995703,1116.7386519908905,12.17489504814148,97615.372,1066.725,0.9856292826641068,0.061899679829242264,0.021870286576168928,0.0036775165258137394,0.03232098077458902,0.5090963850251776,0.9856292826641068,0.061899679829242264,0.021870286576168928,0.0036775165258137394,0.03232098077458902,0.990055058246054,0.8766293647668526,0.9512071065262555
Variant IV,17,995703,1129.0552802085876,12.397818088531494,98596.15,1085.334,0.34648200867291207,0.013923234397400662,0.8386123680241327,0.6589783281733747,0.027391692582442964,0.589817019925379,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,17,995703,1121.7354671955109,12.410700798034668,98089.346,1084.003,0.9712006355721805,0.05986922762566408,0.11048265460030166,0.01924943519370764,0.0776570368407103,0.5456166097032971,0.9712006355721805,0.05986922762566408,0.11048265460030166,0.01924943519370764,0.0776570368407103,0.9974912441938448,0.9703814631149249,0.9879284597246061
Base,18,376761,1191.181650876999,10.393143653869629,104053.865,912.199,0.9637970645477559,0.07293233082706767,0.1348158443363447,0.024399776384855517,0.09465723347157842,0.5552080339757446,0.9637970645477559,0.07293233082706767,0.1348158443363447,0.024399776384855517,0.09465723347157842,0.9405734604115171,0.9872268711510119,0.9560210656644098
Variant I,18,376761,1182.70281124115,10.364587545394897,103331.597,908.747,0.33847129408321547,0.017456232187518177,0.8342599027102154,0.6685878534818831,0.03419692071042999,0.5828360246141662,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,18,376761,1183.0469152927399,10.540497064590454,103386.833,920.403,0.3781913077410858,0.017913935726501018,0.8043780403057679,0.6278768329606396,0.03504734798307432,0.5882506036725641,0.9859616604068094,0,0.0,0.0,0,0,0,0
