dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant II,75,244299,357.57308053970337,3.7431304454803467,42634.17,403.178,0.9580264377347446,0.14210723659542557,0.3950660180681029,0.03395800763857281,0.2090265649416307,0.6805540052147651,0.9580264377347446,0.14210723659542557,0.3950660180681029,0.03395800763857281,0.2090265649416307,0.9887645959853145,0.9768660825690456,0.999196885179678
Variant III,75,244299,341.18669176101685,4.368878364562988,40971.291,472.002,0.9435391770664372,0.08663608332706625,0.4343891402714932,0.050811647560873564,0.1444604677409242,0.6917887463553098,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,75,244299,342.0223548412323,4.280433416366577,40808.96,458.274,0.9321394286470919,0.07373186158997892,0.44834087481146306,0.06249267843695088,0.12663755458515286,0.6929240981872561,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,75,244299,341.44625663757324,4.441912889480591,40949.632,470.005,0.9560271773312589,0.09952797027217034,0.37368024132730016,0.0375115053133629,0.1571893092235705,0.6680843680069686,0.9560271773312589,0.09952797027217034,0.37368024132730016,0.0375115053133629,0.1571893092235705,0.9927764299813461,0.9972397333755251,0.9593464067185856
Base,76,912237,358.21738052368164,3.7960474491119385,42774.657,402.418,0.9606850364126803,0.15370221865811282,0.39958304378040305,0.031325909178610126,0.22200772200772204,0.6841285673008964,0.9606850364126803,0.15370221865811282,0.39958304378040305,0.031325909178610126,0.22200772200772204,0.9937345677297116,0.9933363616150667,0.964945271527747
Variant I,76,912237,358.6129684448242,3.797290563583374,42788.594,402.535,0.9382713038388372,0.11013637451152404,0.47984711605281444,0.05520155146142125,0.1791528831809042,0.7123227822956966,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,76,912237,358.13646507263184,3.7825565338134766,42718.174,402.546,0.9384420272181845,0.11566987533533217,0.5093815149409312,0.055448914570676584,0.18852880658436216,0.7269663001851272,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,76,912237,342.016211271286,4.4409332275390625,41105.335,470.043,0.9611084445032937,0.10658892128279883,0.34464555052790347,0.03205171115387834,0.162821768949853,0.6562969196870126,0.9611084445032937,0.10658892128279883,0.34464555052790347,0.03205171115387834,0.162821768949853,0.9660413909526175,0.9608628543569335,0.9981939746622038
Variant IV,76,912237,342.485876083374,4.300686359405518,40854.823,457.843,0.9616877420636234,0.09737964655697745,0.30128205128205127,0.03098485482386411,0.1471861471861472,0.6351485982290936,0.9616877420636234,0.09737964655697745,0.30128205128205127,0.03098485482386411,0.1471861471861472,0.9627999914699904,0.9624795264516102,0.957120047698292
Variant V,76,912237,342.50469160079956,4.422024726867676,40996.404,469.504,0.9600905359330001,0.10884886452623337,0.36689291101055804,0.03332775499958163,0.16788887930290744,0.6667825780054882,0.9600905359330001,0.10884886452623337,0.36689291101055804,0.03332775499958163,0.16788887930290744,0.9890498303438164,0.981993820250337,0.9614454684334344
Base,77,803684,358.41488432884216,3.7871086597442627,42699.366,392.261,0.8958397354288307,0.0822178002894356,0.6316886726893676,0.10039924208318285,0.1454981992797119,0.7656447153030924,0.9859617288828404,0,0.0,0.0,0,0,0,0
