dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant V,69,655318,87.89334678649902,1.7617528438568115,7529.972,177.844,0.9380317124035883,0.08110129163834126,0.44984917043740574,0.056551752991381474,0.13742656375993548,0.6966487087230121,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,70,224928,91.81525754928589,1.495934247970581,7907.553,146.734,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,70,224928,92.1229202747345,1.5236287117004395,8098.237,140.988,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,70,224928,91.71809959411621,1.5225176811218262,8016.525,158.451,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,70,224928,87.27313947677612,1.7644379138946533,7598.685,181.034,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,70,224928,87.20726537704468,1.8687703609466553,8519.03,156.7,0.9480701115561587,0.07895184618002382,0.34992458521870284,0.045293280896996066,0.1288352075524087,0.6523156521608534,0.9480701115561587,0.07895184618002382,0.34992458521870284,0.045293280896996066,0.1288352075524087,0.958003688882657,0.975457847401971,0.8982550501376828
Variant V,70,224928,87.54432654380798,1.7589762210845947,7840.6,170.187,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,71,926625,92.46906733512878,1.4881401062011719,8088.832,149.411,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,71,926625,91.86383080482483,1.489666223526001,9130.898,127.017,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,71,926625,92.13392376899719,1.4967222213745117,9120.725,150.062,0.963304229061997,0.15423552181033198,0.35997220291869353,0.028105396473591514,0.21594580510682643,0.665933403222551,0.963304229061997,0.15423552181033198,0.35997220291869353,0.028105396473591514,0.21594580510682643,0.967432657304271,0.9675050934401153,0.9256082360943847
Variant III,71,926625,87.83611011505127,1.7718985080718994,7599.292,179.074,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,71,926625,87.96846675872803,1.88323974609375,7610.279,156.293,0.9727192227481877,0.1108038712225953,0.21153846153846154,0.018835243912643292,0.14543097861309137,0.5963516088129092,0.9727192227481877,0.1108038712225953,0.21153846153846154,0.018835243912643292,0.14543097861309137,0.984094496050221,0.9990342985683925,0.9547619183421638
Variant V,71,926625,87.88337230682373,1.767395257949829,8562.389,180.544,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,72,67898,92.10067510604858,1.4839627742767334,8194.641,138.656,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,72,67898,92.40158939361572,1.4925429821014404,8136.4,135.988,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,72,67898,92.37116837501526,1.5193614959716797,8201.468,36.961,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,72,67898,87.13407945632935,1.7649660110473633,8190.139,43.489,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,72,67898,87.46135950088501,1.8787930011749268,7985.292,189.126,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,72,67898,88.13711881637573,1.7761924266815186,8823.405,181.464,0.943725379853686,0.08149847094801223,0.4019607843137255,0.05026357626976822,0.13551995931858632,0.6758486040219785,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,73,68878,91.33076357841492,1.4912316799163818,7879.164,150.398,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,73,68878,92.13130116462708,1.5034091472625732,8183.839,38.074,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,73,68878,91.92746806144714,1.503342628479004,8167.799,146.289,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,73,68878,88.10193157196045,1.76096773147583,8661.925,167.184,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,73,68878,88.36692428588867,1.8816165924072266,8100.288,187.254,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,73,68878,87.85844445228577,1.7432072162628174,8694.712,173.264,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,74,904484,91.83488202095032,1.4965431690216064,8073.106,146.982,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,74,904484,91.34001564979553,1.4791252613067627,8985.109,138.628,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,74,904484,91.56658005714417,1.5321364402770996,7945.766,148.486,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,74,904484,88.01338982582092,1.7703924179077148,8295.068,178.316,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,74,904484,86.99725985527039,1.871206283569336,7573.048,186.678,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,74,904484,86.87194871902466,1.773655891418457,8661.827,181.78,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,75,244299,91.9008400440216,1.5108275413513184,9089.149,145.574,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,75,244299,90.73090505599976,1.5279955863952637,8351.095,152.045,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,75,244299,89.2303307056427,1.5259678363800049,9030.71,162.309,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
